id,phoneme,time,duration,F0,F1,F2,F3,F4
1,e,2.457637429134592,0.09084138022759536,172.93946337218597,427.5907113263309,1933.4921115300508,2589.231206110161,3635.356921405522
2,U,2.6476984859718846,0.064123327219479,149.73876235722673,390.59644557212744,1522.794231736365,2545.634231847598,3156.4144900023025
3,\~a,4.199257001467978,0.09484908817881356,156.57191452175624,550.692975266156,1432.5219530950235,2456.0234385520357,3649.928685566997
4,U,4.406016841435345,0.06612718119508809,144.2900286778491,366.08483479299696,1538.2913301971607,2524.6637929815993,3151.406388492211
5,E,5.741944465965517,0.1242389464877416,133.57978797425005,506.81300211163557,1886.9228976284464,2711.2415334455577,3369.7382142779534
6,I,5.92232986352639,0.08215801299995817,128.1075536231834,343.310441728228,1966.057172777117,2742.0431549017826,3632.9138094211617
7,o,7.375309059151825,0.14494543756903155,149.24990232664385,432.5816103242974,1029.0277720939998,2646.4275954836835,3224.956765599719
8,U,7.542049629241148,0.05811176529265349,130.98466324067414,359.9838052665159,1454.7764075487664,2428.9830234213146,3053.62280920294
9,a,8.876137651334524,0.12089918986172775,130.79131518710665,791.2523316319007,1519.2803225217178,2457.506562378993,3691.0734257385525
10,5,9.128681061895357,0.06345537589427508,118.41825544971928,382.61463469283666,1742.4414936174576,2699.30256101426,3137.22374419372
11,a,10.494591811095177,0.06813103517069763,129.2934390783849,722.277806174194,1321.8920154568534,2333.6286357249096,3588.3481238323952
12,5,10.6829540848024,0.06145152191866642,121.78234909291473,473.9307688298799,1620.114553285839,2503.963426871564,3616.33302476918
13,\~i,12.07317345044492,0.1275787031137554,159.83250041468148,333.19621713612963,1541.945614473819,2829.7497523692505,3857.652287974886
14,i,13.665690733243219,0.08349391565036335,152.78869975150025,306.7375788756708,2047.910509957143,2683.323398218037,3445.8552409838017
15,U,13.879778767909775,0.07414259709752358,131.9968161292265,336.514230139397,1638.742706694742,2321.71293141404,3215.584755181246
16,e,15.305288949529304,0.057443813967450914,144.5283566994489,470.52990339643867,2041.3420988798218,2554.9339703001347,3352.6790387651345
17,I,15.524376984195861,0.057443813967450914,126.40810788724563,327.9180418485882,1836.3550905677555,2756.2429672299927,3282.5138472168005
18,\~o,17.002601673226344,0.10486835805685503,148.77345117514244,668.9991366462733,908.119527457638,2784.1567397969316,3158.6493256503104
19,i,18.704003346740826,0.08549776962597377,165.77906975059042,326.12008916536723,2014.4100036093223,2691.95611392315,3423.6565811024507
20,U,18.867346350570006,0.05811176529265082,128.7059806278914,321.7829487097677,1558.022855049993,2240.813487205524,3137.447439705511
21,a,20.35706703143567,0.12624280046334846,128.06535643103854,765.8598156160458,1391.432344104385,2487.6247717351143,3597.4751045184958
22,5,20.52285050477023,0.04786562080883172,129.99868652690242,485.45019598106074,1605.6242351952335,2792.91041464123,3724.2006791769686
23,o,22.038191616548676,0.093276594396702,157.73694275445334,476.3318888677395,834.8948652772708,2472.847776220507,3507.220777051088
24,U,22.242178175461802,0.0582978714979383,132.62415760934599,350.85730020639494,1486.4610572253769,2310.055836565935,3193.57105477304
25,a,23.65435876550145,0.09082194717573701,140.28960022079866,842.2069362263112,1462.7342055069703,2314.7041528456093,3588.2718303047136
26,I,23.917779813964938,0.04663829719835277,131.89759264086894,333.6273905701149,1936.5473732707783,2716.2590475016686,3528.1319022127973
27,O,25.306789537551264,0.09076279771874596,133.73126002926998,604.9199413678941,1073.137559323829,2214.7071023990006,3268.8418052982797
28,5,25.497626596663427,0.06645133404408554,120.90662007109962,438.3107491628375,1655.8864279364113,2474.7120355493785,3535.9913784777978
29,\~i,27.040786400819112,0.12479884686327836,161.8962161613514,336.0233705192962,1757.9047161788467,2663.3506950914907,3598.4272223820662
30,5,27.173535500174296,0.05105407371679505,128.88774198811993,395.6930853671859,2000.7791470666264,2681.0298496316304,3497.501721300565
31,a,28.623757237413905,0.1264196111082576,139.59272505465094,735.1304301801703,1460.2728417063825,2378.8917024951825,3638.1601155656144
32,5,28.835923784773,0.059157894941684226,123.09815094306033,419.61192065252203,1689.7375104310922,2764.60088077954,3562.3109290428697
33,e,30.33269389614627,0.16693871723269638,146.68271675245745,406.95240661988146,1854.3886466300626,2584.811282451302,3368.7247559299344
34,e,32.01235975837947,0.12966113959821612,146.93501060871168,413.29988719240225,1966.9015617081777,2552.8591752362136,3501.8638098392516
35,a,33.66153116446646,0.13695457870061034,134.5079375837384,789.9820078912769,1471.2786073198204,2391.580625777137,3559.85336936338
36,U,33.913941403419855,0.04862292734932794,124.48795918185024,340.29481264553203,1656.5209496676168,2649.8212206637595,3136.9400971965597
37,E,35.401474156782534,0.11507426139341705,140.4223411726437,550.6697237017181,1873.118679156459,2534.9712298090813,3505.8048930688433
38,5,35.6559182817761,0.050243691594310746,124.68867950272907,379.13639918392164,1687.631597322378,2750.0455377258186,3400.5453530930286
39,E,37.04916250588962,0.1361441965781296,132.65624408340653,555.3542990697823,1816.5320973371329,2654.831273417197,3539.3999263685287
40,I,37.24551867112623,0.0356568133895081,118.35482194331607,323.10199253667264,1753.5211355165757,2684.0416493689013,3392.149458543506
41,O,38.640966367210176,0.11183273290345852,137.32563803901633,614.2186267349759,1027.9442848682336,2351.829614524805,3439.3691202392924
42,5,38.876633996121434,0.044571016736881575,129.07776018550751,405.4597238731784,1739.1027369904612,2419.1223722291065,3558.837444442766
43,u,40.40426394530301,0.11426387927092918,162.36908622267973,366.5723060613757,994.7008924234518,2428.090131594864,3523.484985573019
44,5,40.584963297150104,0.055105984329237856,126.5789035971385,347.2497759683412,1691.4656257520192,2725.1238692667844,3528.9386463017495
45,\~e,42.03820767699297,0.09967700106612654,138.67965647707933,498.02874786963594,1844.6507782049437,2527.62626667071,3521.2270456521924
46,U,42.24768352492237,0.06077865918665992,129.61615627355073,346.9672902946453,1610.0903807264515,2553.8527285545492,3052.6899662215806
47,o,43.74483503515501,0.085090122861331,148.64135501358672,445.2400174190383,1046.0421794911958,2478.560587095134,3031.0954896689873
48,5,43.93013712667482,0.06564095192159414,128.5141782076793,433.6270789348272,1579.128706264463,2493.446838129997,3305.283245829684
49,i,45.52749181705564,0.09643547257617513,162.87123154262753,327.5629686286119,1983.773038537067,2760.8337595942107,3510.025347512751
50,U,45.69077588400319,0.06483056979910629,139.04699699929913,335.8438904438621,1825.3875003806054,2427.287873147056,3227.542375976122
51,\~e,47.30999659004664,0.07212400890150407,141.9781996611967,485.46937103984135,1945.9481219279041,2496.1722750118934,3595.6472742776823
52,5,47.53581778769089,0.05996827706417208,134.53252784280429,380.6162117406964,1748.950759522793,2714.5692927959535,3425.290812787792
53,E,49.0658542332617,0.09967700106612654,149.0831362636709,528.6136935453897,1947.517775265775,2649.6961026797953,3569.051659621524
54,5,49.207120275636974,0.05186445583928645,141.12123806332772,427.9652246708868,1822.0268971208422,2719.273616355942,3524.4021119856134
55,O,50.72340066358678,0.1175054077608806,138.41603723570276,550.3252388459047,942.8850121504892,2370.6530942918994,3415.7620040138013
56,I,50.95191256066071,0.05510598432924496,130.89054003143877,333.7537034060983,1868.7581159554954,2645.1754301010724,3398.4306493505414
57,\~i,52.41086305384955,0.0915731798412338,175.51540693218507,365.9225361859278,2151.2887025783266,2714.4883589769515,3683.0903746806266
58,U,52.61506348724883,0.038087959756971664,138.42995478421244,349.6409161465558,1549.5274584261729,2325.499085992688,2989.0431082906093
59,O,54.46617361056852,0.11669502563839275,130.69164098309466,662.1585706544965,1155.5699480704527,2658.147624827364,3345.4477684962276
60,O,56.182798241276025,0.11021196865847573,148.40217032013734,595.2071268184621,1112.1271916804192,2266.229285067198,3417.3190358606557
61,5,56.36430797524562,0.055105984329237856,134.8577613465849,405.1097633948753,1702.8783263741834,2305.7300905488414,3495.517640125922
62,U,58.107061797235744,0.06888248041155265,132.41438219146482,350.7179606632038,1534.5769335895154,2479.112519077013,3078.2045755735194
63,E,59.765357504046456,0.13128190384318827,152.87009142546188,549.1350605106226,1856.2561284243095,2552.9502953071283,3441.915236795071
64,a,61.566946066314976,0.1069704401685243,141.8676775921423,754.8464957839994,1442.7134594440795,2254.781853034636,3498.138835917709
65,U,61.78209458910182,0.07455515526896761,133.18458972337717,373.9401969107833,1405.7335470253795,2330.1478349836807,3380.0090655680556
66,e,63.3175544804845,0.09400432620870447,156.22797277254577,401.84609873100595,2109.285460957848,2792.9860464705007,3406.1816436914514
67,E,65.09408479855698,0.14911031053794946,141.40377784155254,528.9812923240016,1839.0669251802894,2644.193016428973,3441.8284074364706
68,I,65.30745898836585,0.04862292734932794,119.91707431252784,334.15847749719876,1761.0449485284528,2743.3726173902223,3666.552187740309
69,i,66.86290148277438,0.07374477314648686,180.47138620072644,336.28618869918466,2195.8621284514797,2906.9663876665413,3336.6740768191
70,I,67.06589427372387,0.04619178098187149,133.0017963934863,314.02625240716134,1950.5009146365016,2778.897480526807,3399.585420915192
71,\~o,68.54889667752519,0.12885075747573185,142.93173982116838,512.2318804095379,1006.4577244604279,2508.7048125227034,3366.459004546661
72,I,68.77065010308908,0.04862292734932794,127.15825066219136,340.4822696844702,1801.2240522904297,2824.205904111329,3378.2321898765804
73,i,70.11728942442556,0.09805623682115083,155.180420510224,311.0249802283427,2206.030638925929,2826.471207350687,3296.7980834672794
74,U,70.34985323211195,0.03808795975696455,115.63766366797859,319.27055603642214,1777.8871510769163,2387.9261175128613,2973.1678693768313
75,a,71.79782831455778,0.13209228596568326,130.80635872659028,740.1190477665879,1508.484178579001,2402.959432248413,3629.694137499336
76,U,71.98459760158957,0.04781254522683298,118.52071796418218,334.10194442112544,1763.312203658867,2437.2605338132767,3317.5051581878906
77,a,73.43359069337359,0.11264311502594636,141.3687782436918,777.2495173169176,1391.8534603503892,2350.287952580693,3601.053212483539
78,a,75.16975718960744,0.11426387927093627,133.64510069438293,767.4487824863992,1494.5256218702636,2435.9857278045533,3647.3589606794226
79,5,75.40137290790626,0.04376063461438662,121.20198404874398,354.006859876896,1715.7955487736272,2844.1355440584,3728.5485819195624
80,E,76.87372572700504,0.10129776531110224,144.46062171288247,543.4815029947123,1824.038609029868,2679.3607527825357,3316.282407008788
81,I,77.08521959950673,0.04538139885937653,125.29066643155954,342.3379621626999,1860.575839345729,2787.4550874172305,3467.746572678273
82,o,78.47642993758014,0.09805623682115083,137.22935961558485,421.25632143532204,877.9450788983295,2546.0765093676564,3608.9044245108416
83,a,80.18997812449554,0.14181687143555166,142.61674063355215,712.8034183277377,1572.4577693797103,2420.2189883763904,3585.0570415101943
84,I,80.38971352548715,0.053485220084269265,119.90758228737401,338.0371488404565,1752.3052678975855,2789.945145198991,3571.9262430848553
85,\~e,81.88213166173968,0.11426387927092208,149.02710709523845,476.83561485610386,2096.7690955121675,2727.7573175616835,3569.9109838526456
86,5,82.07417636330162,0.05429560220675,122.30657360970514,453.67243297668875,1707.1161499481912,2501.1000017635583,3429.1278940143516
87,a,83.46878023877456,0.13695457870062455,140.93202647620325,696.138081972614,1579.4905490960707,2243.5186256141724,3599.6054744847324
88,5,83.68051057418359,0.04862292734932794,132.06313023675295,408.59057095931286,1681.0454677178066,2831.6627701734583,3788.9775348088892
89,\~e,85.22980195478571,0.0867108871063067,152.45480188892284,451.24610096073735,2211.696868992215,2727.327113800819,3489.138290508288
90,5,85.41550130663282,0.03970872400195447,134.93337493803793,430.4800978834263,1744.1261048189588,2397.961282430682,3231.0231030917216
91,a,86.92077249955831,0.11669502563839275,147.20207780363344,758.3353995384415,1496.4455886875974,2275.242480836382,3557.0657930877055
92,U,87.19952808822656,0.055916366451725714,126.44511527733374,350.7138465221958,1660.8570992458779,2418.9032184965367,3133.8088221717467
93,\~o,88.78690742858564,0.09886661894363158,156.5204221166743,602.3612853627019,897.7372517955221,2414.946303546555,3166.766852049996
94,I,89.00678053684233,0.053485220084269265,138.2988830279869,337.8806995194535,1848.8929861879233,2776.668864206403,3408.0541549749905
95,E,90.54048042120866,0.0915731798412338,153.90138301480175,596.1481649110927,1697.1467108410197,2566.736539466625,3715.1366690654895
96,5,90.73942130154569,0.062399423431642724,130.59436631450882,396.124750677368,1711.067510456184,2745.112467824874,3527.6784155237283
97,O,92.22381679519496,0.14100648931307092,144.649592008947,565.474980525398,1050.1302550409605,2300.389764437163,3437.2479148659836
98,U,92.43989754590143,0.0696928625340405,135.44775443087786,354.6324979857932,1588.2368416764969,2286.604825003915,3414.4935225134077
99,\~a,93.94324791007361,0.09805623682115083,158.42551227374514,547.6834548559962,1161.8346411909404,2386.9976001901105,3541.790103801067
100,5,94.12732649767574,0.049433309471808684,141.3846452623096,429.1837289424405,1726.1417911632593,2434.680532557701,3444.0362917015627
101,O,95.5753535514553,0.08184859437136538,132.6428402460257,619.3618006565007,1130.1431103033276,2319.4621930179906,3454.359773234456
102,I,95.76862175693492,0.05024369159431785,128.77924846608607,339.83015187905465,1885.8702901874801,2792.355937660044,3478.3253218662667
