phoneme,time,duration,F0,F1,F2,F3
5,37.98265342649478,0.014378693825197603,5.035039755930889,35.784925318727,56.9244492367384,103.74343393447481
E,16.058753771643254,0.009832042715070825,3.1340596480813114,64.64631589698112,93.21066487994997,77.2732024815822
I,37.84858187270475,0.01033422786645207,5.541354602608665,66.8608041934295,83.78326204525739,105.2241156338699
O,39.64892104577141,0.011078516087167839,2.599765948937314,18.81257405026215,9.956044936047228,12.99945928650024
U,37.658438063391806,0.012939448980879413,6.423534209756234,37.49955960974202,118.49822104762383,101.38221922594333
a,43.29470139912638,0.021104945244712556,5.543666675319352,31.470133265404165,66.80993747751903,49.325830064886524
e,40.38412230849409,0.014324785747449517,4.51143110750684,22.73877916323319,87.9457080099923,71.0706908352705
i,39.56893325207179,0.014673605842214192,3.8450864053130855,14.630630948672298,76.2565858457857,183.96908160073457
o,34.39768652870156,0.021786526703964325,3.7066577106530207,27.863780423629166,82.90851036193423,83.3280356644493
u,,,,,,
